task,epoch,loss_type,pos_mean,neg_mean,gap,violation_pct,ant_loss,nll,ant_loss_w,total,batches,run_idx
1,1,contrast,0.8601948881789137,0.7806083067092652,0.07958977635782748,0.5,93.13875399361022,3.3042169329073485,1.5375341853035143,4.8417520766773166,313,0
1,2,contrast,0.8100520766773163,0.6608859424920128,0.1491670926517572,0.5,80.77274760383386,3.144641533546326,1.5000338658146966,4.644679872204472,313,1
1,3,contrast,0.7785872204472843,0.5804785942492012,0.1981121405750799,0.5,71.47127795527156,3.035079552715655,1.4817808306709264,4.5168587859424925,313,2
1,4,contrast,0.776158785942492,0.5728300319488818,0.2033338658146965,0.5,70.61479233226837,3.0314044728434504,1.481317571884984,4.512719488817891,313,3
1,5,contrast,0.7629367412140575,0.5164507987220447,0.24648594249201275,0.5,64.02565495207668,2.9423504792332267,1.4726517571884985,4.415009584664537,313,4
1,6,contrast,0.7517386581469648,0.4907392971246007,0.2609984025559105,0.5,62.26153354632588,2.9113341853035144,1.4696936102236422,4.381027795527157,313,5
1,7,contrast,0.7394434504792332,0.4528501597444089,0.2865990415335463,0.5,58.62587859424921,2.8570223642172525,1.4640952076677316,4.321119169329073,313,6
1,8,contrast,0.738470287539936,0.4134351437699681,0.32503194888178916,0.5,55.43546325878594,2.791795846645367,1.4616012779552716,4.2533996805111824,313,7
1,9,contrast,0.7264891373801917,0.3898789137380192,0.33660830670926517,0.5,55.098338658146965,2.7634757188498402,1.4604894568690094,4.223968051118211,313,8
1,10,contrast,0.7205329073482428,0.32996837060702877,0.3905629392971246,0.5,49.52261980830671,2.6545099041533544,1.4543757188498403,4.108884345047923,313,9
1,11,contrast,0.7274424920127796,0.3475626198083067,0.3798718849840256,0.5,50.82367412140575,2.6745287539936102,1.4561782747603833,4.1307105431309905,313,10
1,12,contrast,0.715941214057508,0.3070009584664537,0.4089370607028754,0.5,49.01699680511182,2.6160996805111822,1.4536830670926517,4.069778913738019,313,11
1,13,contrast,0.7104987220447284,0.2505974440894569,0.45990319488817893,0.5,45.67271565495208,2.5126392971246005,1.4501140575079872,3.962749840255591,313,12
1,14,contrast,0.694832268370607,0.21321182108626197,0.4816188498402556,0.5,44.090638977635784,2.461655591054313,1.4478846645367414,3.909538019169329,313,13
1,15,contrast,0.6840274760383387,0.17389424920127794,0.5101338658146964,0.5,43.003993610223645,2.425614696485623,1.4468549520766771,3.8724638977635784,313,14
1,16,contrast,0.6844249201277955,0.19497380191693292,0.48945527156549523,0.5,44.5341214057508,2.463893290734824,1.4483469648562302,3.9122367412140573,313,15
1,17,contrast,0.6746654952076677,0.1714185303514377,0.5032428115015974,0.5,43.47006389776357,2.43519392971246,1.4469654952076676,3.882155910543131,313,16
1,18,contrast,0.6715693290734824,0.13990255591054312,0.531670607028754,0.5,41.49428115015974,2.373509265175719,1.4447753993610224,3.818283386581469,313,17
1,19,contrast,0.6675095846645367,0.13224600638977635,0.5352654952076676,0.5,41.35523961661342,2.3416664536741214,1.444070287539936,3.785741533546326,313,18
1,20,contrast,0.6717645367412141,0.14042715654952076,0.5313357827476038,0.5,41.86287539936102,2.376738977635783,1.4455942492012779,3.822331948881789,313,19
1,21,contrast,0.6654498402555911,0.11532428115015975,0.5501277955271565,0.5,40.972715654952076,2.3151424920127797,1.4435952076677316,3.758738019169329,313,20
1,22,contrast,0.6579060702875399,0.1023479233226837,0.5555543130990415,0.5,40.44217252396166,2.316200638977636,1.442976357827476,3.7591785942492013,313,21
1,23,contrast,0.6644987220447285,0.09592364217252397,0.5685808306709266,0.5,40.45958466453674,2.2687009584664537,1.4433507987220446,3.7120520766773164,313,22
1,24,contrast,0.6593712460063897,0.11341309904153354,0.5459536741214057,0.5,40.741309904153354,2.3300281150159745,1.4437536741214059,3.773785623003195,313,23
1,25,contrast,0.6575990415335463,0.1066370607028754,0.550964856230032,0.5,40.402044728434504,2.3245808306709264,1.4433702875399361,3.7679495207667735,313,24
1,26,contrast,0.6638520766773163,0.0909143769968051,0.5729341853035144,0.5,39.87798722044728,2.26800607028754,1.4427718849840256,3.710774440894569,313,25
1,27,contrast,0.6591258785942492,0.1025888178913738,0.5565405750798722,0.5,41.00198083067093,2.2974399361022364,1.4440169329073482,3.741456230031949,313,26
1,28,contrast,0.6629268370607029,0.07822012779552716,0.5847095846645368,0.5,39.180958466453674,2.227608945686901,1.4421153354632588,3.669721405750799,313,27
1,29,contrast,0.6556415335463259,0.07018115015974441,0.5854578274760384,0.5,39.034568690095846,2.235379552715655,1.44164696485623,3.6770277955271564,313,28
1,30,contrast,0.6588808306709265,0.07199297124600638,0.5868888178913738,0.5,39.29533546325879,2.2297220447284345,1.4418603833865815,3.671578913738019,313,29
1,31,contrast,0.6574217252396166,0.05614920127795527,0.6012693290734825,0.5,38.68127795527157,2.196019488817891,1.4412345047923323,3.637255591054313,313,30
