observation,ANT-FS-AR,ANT-FS-AR + TAvg-10,ANT-FS-AR + TAvg-5,ANT-IV-AR,ANT-IV-AR + TAvg-10,ANT-IV-AR + TAvg-3,ANT-IV-AR + TAvg-5,ANT-IV-GR,Baseline InfoNCE
C100 10-10 s1993,78.28,78.85,79.07,78.05,78.99,78.94,78.87,78.25,77.87
C100 10-10 s1994,79.22,78.92,79.16,78.96,79.0,79.09,79.04,79.18,79.14
C100 10-10 s1995,79.62,78.85,78.98,78.81,78.87,78.91,78.97,79.22,79.27
C100 50-10 s1993,76.99,76.88,77.27,76.44,77.25,77.15,77.1,76.71,76.37
C100 50-10 s1994,77.48,76.97,77.29,77.43,77.25,76.02,76.98,76.1,77.53
C100 50-10 s1995,77.06,76.95,76.94,77.17,77.19,76.78,77.05,77.28,77.07
TIN 20-20 s1993,60.32,61.38,61.69,60.49,61.45,61.58,61.89,60.17,60.25
TIN 20-20 s1994,60.86,61.47,61.31,60.95,61.38,61.13,61.41,61.06,60.74
TIN 20-20 s1995,61.48,60.78,60.9,61.71,61.23,60.5,60.91,61.03,61.76
TIN 100-20 s1993,61.12,61.09,60.9,60.81,61.08,61.0,61.25,61.36,61.02
TIN 100-20 s1994,61.46,61.4,60.98,61.17,61.22,61.5,61.51,61.3,61.23
TIN 100-20 s1995,60.82,61.5,61.32,61.13,61.23,61.03,61.09,61.15,61.71
