observation,ANT-FS-AR,ANT-FS-AR [legado: ref. conectada],ANT-FS-AR [legado: ref. conectada] + TAvg-10,ANT-FS-AR [legado: ref. conectada] + TAvg-5,ANT-FS-GR,ANT-FS-GR [legado: ref. conectada],ANT-IV-AR,ANT-IV-AR [legado: ref. conectada],ANT-IV-AR [legado: ref. conectada] + TAvg-10,ANT-IV-AR [legado: ref. conectada] + TAvg-3,ANT-IV-AR [legado: ref. conectada] + TAvg-5,ANT-IV-GR,ANT-IV-GR [legado: ref. conectada],Baseline InfoNCE,Baseline InfoNCE + TAvg-10,Baseline InfoNCE + TAvg-3,Baseline InfoNCE + TAvg-5
C100 10-10 s1993,79.01,78.28,78.85,79.07,79.04,79.18,79.08,78.05,78.99,78.94,78.87,79.19,78.25,77.87,79.14,79.25,78.97
C100 10-10 s1994,79.13,79.22,78.92,79.16,79.38,79.27,78.87,78.96,79.0,79.09,79.04,79.07,79.18,79.14,78.99,79.09,78.88
C100 10-10 s1995,79.67,79.62,78.85,78.98,79.08,78.86,79.14,78.81,78.87,78.91,78.97,78.65,79.22,79.27,78.85,78.7,78.97
C100 50-10 s1993,76.59,76.99,76.88,77.27,77.46,77.1,76.99,76.44,77.25,77.15,77.1,76.83,76.71,76.37,76.29,76.38,76.79
C100 50-10 s1994,76.96,77.48,76.97,77.29,77.26,77.15,77.08,77.43,77.25,76.02,76.98,77.18,76.1,77.53,77.04,77.19,77.01
C100 50-10 s1995,77.68,77.06,76.95,76.94,77.25,76.48,77.39,77.17,77.19,76.78,77.05,77.62,77.28,77.07,76.84,77.23,76.85
TIN 20-20 s1993,60.98,60.32,61.38,61.69,61.54,61.73,61.09,60.49,61.45,61.58,61.89,60.99,60.17,60.25,61.29,61.7,61.64
TIN 20-20 s1994,61.33,60.86,61.47,61.31,61.57,61.34,61.59,60.95,61.38,61.13,61.41,61.26,61.06,60.74,61.36,61.64,60.98
TIN 20-20 s1995,61.29,61.48,60.78,60.9,61.59,61.13,60.76,61.71,61.23,60.5,60.91,61.41,61.03,61.76,60.85,61.0,60.91
TIN 100-20 s1993,61.16,61.12,61.09,60.9,61.23,61.37,61.3,60.81,61.08,61.0,61.25,61.12,61.36,61.02,61.19,61.09,61.19
TIN 100-20 s1994,60.99,61.46,61.4,60.98,61.97,61.23,61.08,61.17,61.22,61.5,61.51,61.25,61.3,61.23,61.27,61.14,61.0
TIN 100-20 s1995,60.91,60.82,61.5,61.32,61.34,61.31,61.05,61.13,61.23,61.03,61.09,61.17,61.15,61.71,61.48,61.58,61.63
